time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,167671980358016.25,167671980358016.25,167671980358016.25
2001,167275488009466.38,167262643738607.25,167349258378178.5
2002,166711032752709.72,166933144334890.0,167031625056425.44
2003,166101267351095.34,166484756831047.25,166674348457164.22
2004,165770318390837.78,166055712270300.8,166389390742978.75
2005,165408235044839.12,165715093646022.97,165921160362257.34
2006,165180025726953.97,165216083304755.16,165660402866152.44
2007,164820012335206.22,164765290248353.7,165302425015731.75
2008,164397204583840.03,164463544579332.94,165024903679900.62
2009,164052111767623.5,164045263442412.25,164568085114359.0
2010,163632643461724.94,163546471056039.94,164150921308658.0
2011,163198529626172.88,163128279244343.4,163679149680589.7
2012,162771049287125.3,162789894746277.6,163196192088676.38
2013,162419030923524.2,162312315301528.53,162792122062124.25
2014,162050525168778.44,161925336225868.47,162337111348178.22
2015,161688494130890.38,161484947528031.1,161756705708723.7
2016,161278331737730.28,161098804895979.0,161088388368915.88
2017,160875904611554.53,160676279172453.03,160604094883958.8
2018,160348233161232.5,160162925804264.47,160076034992368.06
2019,159857288198788.44,159731178564161.25,159592352991795.94
2020,159251431141519.56,159311879702544.44,159194618424139.78
2021,158866889492775.78,158692157515160.97,158618233799911.72
2022,158447744303554.2,158116015133561.53,158120915147990.25
2023,158024239824525.53,157673757963244.7,157481418743757.94
2024,157328476779237.97,157295183878124.16,156912072319406.56
2025,156818779127791.75,156723958561834.3,156422655387441.62
2026,156247279515436.78,156184031475253.28,155892286532817.56
2027,155581757389407.12,155726714549602.1,155149153064926.66
2028,154956453749826.12,155235992618168.16,154578440588569.44
2029,154261936277220.12,154785095148361.03,154019758572423.75
2030,153649976920409.56,154284039346618.16,153566348458135.44
2031,153109215499313.94,153805119748041.7,153068832091203.47
2032,152549707168845.44,153371201493787.7,152590877330185.22
2033,151781995520246.12,152889730712437.56,151928562945986.88
2034,151155708869995.12,152334698905387.2,151184785156314.94
2035,150408285713278.2,151767160939993.62,150637958625586.16
2036,149787021672153.06,151136873235949.12,150163688523959.9
2037,149050313336215.28,150486796471764.1,149711752325367.25
2038,148177025422564.47,149787148923775.56,149009709836700.2
2039,147507294912066.94,149274517043541.4,148423913196954.62
2040,146837329583676.44,148584080445190.12,147818869393942.5
2041,146267225876179.38,147873500861936.06,147204274789522.53
2042,145644086477433.94,147102757313879.94,146638509236071.6
2043,145009761548511.97,146473568637155.06,146058103898041.25
2044,144310275300828.25,145848334560600.56,145169674929090.25
2045,143565874188606.1,144850734175487.5,144499429255597.3
2046,142944858158231.4,144118103492823.1,143790787031683.84
2047,142269531992082.44,143371482922373.62,143079447861042.6
2048,141602851495043.66,142623543284493.62,142441626129747.25
2049,140864249608707.06,142013971149238.88,141673163978868.5
2050,140226614840245.31,141457608227519.2,140940164744455.25
2051,139459376717929.72,140805200091415.88,140193004440604.56
2052,138660443166308.94,140181199868454.53,139463385454113.6
2053,137743289340750.78,139380804391302.73,138738484234122.9
2054,137042095369919.75,138613073633972.17,137985786920502.69
2055,136435779822717.62,137961810895225.16,137400466284635.16
2056,135697565134087.42,137241290179106.53,136688125838195.62
2057,134934969671596.28,136635801701476.03,135940367764196.66
2058,134090850730338.2,135845896807584.73,135316444996766.61
2059,133296367868887.78,135150070019499.73,134664602873557.72
2060,132541749931448.56,134478515412181.94,133987402765961.34
2061,131813657201083.19,133780963848812.12,133278684427684.0
2062,130882130126266.84,132861448586956.03,132374875253625.78
2063,129974008257650.66,132250032231362.4,131537704624645.88
2064,128941015674502.03,131548492274661.94,130732027764878.19
2065,127999863217396.89,130823442057728.97,130007003015461.22
2066,127073116984506.97,130171877217098.94,129291274609779.17
2067,126346715576662.94,129315443770274.08,128533660878013.22
2068,125515039653596.69,128451592548135.69,127677655358564.38
2069,124521690316047.11,127590765801371.16,126769843662918.28
2070,123653391055445.39,126742702349629.72,125976995429472.23
2071,122668378859670.95,125875553487693.86,125196737313936.3
2072,121693681064142.28,124994056017330.53,124370196279357.44
2073,120879550615905.47,124178986740894.14,123588474908311.64
2074,120053760137447.5,123253682025480.6,122798669285322.47
2075,119202039977377.66,122394397029544.72,121955645473403.22
2076,118178277119678.31,121421298481614.03,121121876008004.34
2077,117205899607473.62,120570800795859.94,120262920836993.16
2078,116347623533878.44,119713954089997.94,119493330310601.16
2079,115304874108473.16,118779754363905.11,118646855012640.4
2080,114048186290360.11,117795150671035.62,117797997315654.31
2081,113140392468914.14,116947748447569.38,117001685364197.78
2082,112059567344534.89,116026918134187.25,116166393573143.97
2083,111023327085051.47,115135526049962.9,115324692007053.77
2084,109988600160515.23,114155361461853.47,114374512736526.75
2085,108955507300774.92,113166211998619.28,113369563414297.22
2086,107944945498798.34,112148293732140.75,112648877668513.7
2087,106765834638633.4,111290924722307.69,111756124766559.84
2088,105586580920183.34,110334739072989.48,110831129111267.0
2089,104363295678548.03,109361850971183.25,109910878621685.4
2090,103195028993312.34,108190099462116.03,109044021930157.58
2091,101902560952930.31,107019312071719.7,108324316412322.88
2092,100784931379139.72,105699674476535.0,107493527619006.44
2093,99564143754593.02,104641966967531.22,106727127250866.56
2094,98239844859373.34,103382068718796.7,105961740001527.9
2095,97230420426019.9,102280913838070.47,105118506324728.06
2096,96091684556588.66,101088268880679.22,104277634085588.56
2097,95020363299221.31,99932202704139.11,103514427686536.69
2098,94004973956609.05,98815381511332.27,102752682679659.5
2099,92826905408243.25,97721281527685.36,101905938057043.53
2100,91763636272725.1,96561472672283.5,101178534720976.34
2101,90672757931330.31,95208539172860.23,100484908409688.31
2102,89338336971195.22,94064705771974.31,99696505338314.8
2103,88334914669668.39,92765854289775.28,98882473572485.12
2104,87332807082312.81,91467831811371.22,98178877820742.83
2105,86062394213779.69,90154639019853.28,97385007819492.53
2106,84950068857875.08,88809511098165.4,96593612040435.69
2107,83856294677444.94,87375753447274.66,95807500189555.0
2108,82705518573855.73,86128792257360.25,94963413351819.5
2109,81540002011667.84,84759124935875.7,94176647994860.67
2110,80518288993301.4,83422874988848.66,93354856632989.83
2111,79335366184874.4,81962189408835.73,92474724421569.03
2112,78203104879167.53,80319544474429.17,91695924093316.38
2113,77303063340002.28,78885669402352.62,90701215222054.36
2114,76341432827758.62,77372921065460.81,89902800848507.83
2115,75218973756910.33,76000707464075.62,89103782041918.19
2116,74180306598220.31,74641962535264.03,88312531226482.39
2117,73144492779224.27,73217253511993.44,87485877339462.72
2118,72026417306343.62,72000384945118.4,86698696740310.12
2119,71031930469393.95,70838856583418.28,85943900181078.88
2120,70086669400559.57,69761493476070.984,85143109729644.7
2121,69174339896452.2,68515453037378.984,84323442732552.19
2122,68222438816842.58,67220291972258.56,83555527993751.72
2123,67290240002483.39,66045952232541.16,82698930091373.47
2124,66442137379917.67,64840635104616.625,81914956384421.69
2125,65519706226802.7,63530299607435.086,81108343146535.56
2126,64485199378544.11,62259098259289.18,80326325457375.72
2127,63570165859367.625,60810618650236.44,79549149363552.42
2128,62587447432719.28,59639716431542.83,78676101000916.47
2129,61553021512652.016,58243281279515.305,77864826592273.67
2130,60724709809799.08,56988913070922.46,76991067354770.27
2131,59698286959970.19,55489622166262.836,76168208653512.03
2132,58805743393339.69,54282885902637.53,75357912617227.66
2133,57767572338992.25,53140095655734.08,74586973916831.06
2134,56915915547707.414,51968770932398.49,73734889996885.27
2135,56009197217810.86,50932777258147.984,72996057480089.38
2136,54855206222042.8,49785257299684.03,72285514547726.75
2137,53865005277233.92,48613653268083.78,71537418697064.78
2138,52831925273785.516,47460312644221.07,70804812552009.88
2139,51790684388394.016,46295891481683.61,70025889598071.25
2140,50856583110915.89,45184654506356.234,69253651074359.125
2141,50049222789178.98,43956181050148.29,68495404560915.44
2142,49222170264584.75,42856311195046.51,67835408210314.86
2143,48295987414599.69,41792989916245.93,67034439553036.85
2144,47357657995430.66,40709829489696.66,66253343640169.65
2145,46314638810701.11,39413695231855.84,65534841442879.234
2146,45348368210655.625,38272677907843.72,64821936953591.734
2147,44353726202738.67,37210889682038.75,64138908506978.85
2148,43515145605218.17,36051661749767.91,63390997106250.164
2149,42721362506963.36,34920791194422.836,62685338806699.6
2150,41928555248488.86,33799490016250.79,62094793554554.54
2151,41032917402238.11,32552358171535.703,61443218697440.875
2152,40204439416477.23,31393703849979.03,60707664211024.64
2153,39446189436310.86,30270305025434.883,59943075688492.2
2154,38571977581011.2,29222530245616.562,59291360517285.3
2155,37967937472625.86,28114348388467.78,58645080035040.42
2156,37200960119688.914,27207305308080.234,58082873637049.58
2157,36467557069901.82,26285794492330.57,57471003634767.805
2158,35726913565818.04,25368318622494.438,56835615731013.75
2159,35060498541593.562,24409918146206.25,56132081038650.64
2160,34307740039143.777,23393389524746.03,55489406353593.05
2161,33632425777985.402,22425224590026.016,54904047255761.37
2162,32978768708323.848,21423790752748.72,54287624928370.03
2163,32377706219875.855,20530511017096.617,53683149620095.11
2164,31757611655996.242,19565214553219.844,53116981988981.65
2165,31136551166683.977,18685183909754.492,52524029601227.89
2166,30552179371143.863,17728918423015.1,51932367337297.11
2167,30036440023021.184,16758100676868.39,51402164443282.91
2168,29407984573993.293,15931183786876.102,50819681245353.78
2169,28806787566571.14,15138631070593.176,50216096507289.125
2170,28165153229252.93,14312735443485.598,49627885504289.03
2171,27535230165491.883,13517894448873.37,49143924346169.91
2172,26860944825681.484,12866634699649.992,48632350250035.25
2173,26278680277280.29,12200951924362.508,48085086592954.61
2174,25712453016610.67,11474937862054.32,47576087936942.59
2175,25175045760836.6,10774323613029.334,47126244161516.42
2176,24703295282184.64,10194163464247.676,46645054451095.72
2177,24121942214829.336,9614446263308.766,46184195183369.734
2178,23605341863374.57,9072650564688.059,45710109163698.266
2179,23038125520718.992,8525553796098.841,45212140834870.86
2180,22433922766106.152,7973689038764.706,44698414174453.42
2181,21941963132092.516,7526207259043.939,44235729130065.82
2182,21430292431051.938,7052749306464.32,43776216737583.83
2183,20924351751002.133,6627337253918.503,43269428164427.93
2184,20389736131359.727,6267430180324.1875,42809203382472.52
2185,19877676008542.47,5922174064607.699,42382532135434.46
2186,19388558439336.984,5539229610352.809,41914064116180.76
2187,18906114947856.68,5234688003868.825,41459194206939.83
2188,18500928312048.438,4942345281489.353,40983338086834.19
2189,18030261675254.746,4627845975294.6045,40542702544155.42
2190,17595219997685.484,4380140405509.4844,40063246304411.83
2191,17229324520011.84,4132270909386.5806,39599830897621.695
2192,16779730934589.693,3879843899423.7393,39176837594864.61
2193,16349515512730.688,3658252753771.282,38739357447583.05
2194,15942628444205.516,3454901916273.221,38288745090198.06
2195,15521596019377.844,3278788442486.301,37860093533421.61
2196,15161517140279.127,3103214711262.1484,37395119423764.016
2197,14790611008289.488,2939848799593.2188,36891332117029.5
2198,14480162259319.447,2791555504132.7876,36512472426113.14
2199,14185457149900.777,2644827802844.052,36109502076384.19
2200,13815249507088.078,2498433294312.8384,35665884707809.195
2201,13511155752693.387,2363396200978.282,35286171590486.836
2202,13215757258288.387,2245221578117.873,34875473935237.816
2203,12862562312644.262,2136569289095.4956,34487473556382.473
2204,12557005441915.244,2033772285485.9116,34054698417521.94
2205,12282801126832.1,1939247123830.8157,33686102795070.383
2206,11991052838617.63,1856542027747.814,33331826390760.375
2207,11610871762964.64,1774903252532.7227,32984773060910.875
2208,11291268366006.967,1693427646369.0752,32590211856418.734
2209,11012324494099.99,1620009443631.4817,32160801355489.227
2210,10740838571571.725,1556676731022.5215,31808737499916.066
2211,10514517471035.586,1486370624784.8892,31478244289691.438
2212,10294395700774.307,1420352020841.7102,31138446826489.9
2213,10061810051904.152,1353613632305.3767,30743271346405.81
2214,9876156179156.047,1292912335467.9526,30373660497021.574
2215,9588990148658.803,1237987506563.9556,30042846473735.53
2216,9354813585995.762,1184758621442.6968,29686079702679.59
2217,9163499992835.428,1137681216304.0845,29365544635724.336
2218,8960985804460.29,1095974548399.4458,29025777056540.258
2219,8725369938456.209,1054893445052.6023,28682380865265.664
2220,8551772364076.71,1019092854147.0343,28355352656734.695
2221,8349387083633.036,986196399901.5516,28017583202388.203
2222,8172163255818.552,952238703145.8109,27708526471934.77
2223,8035291167475.12,920323788788.4009,27400617026558.79
2224,7858561908833.948,891282276248.425,27127264265086.406
2225,7681684578818.594,866813088845.956,26825055560925.8
2226,7477090862302.028,840882999472.1838,26533074548963.402
2227,7302855823089.193,818812627577.3638,26252662553157.46
2228,7132595539523.087,795649091327.8932,25960297113535.734
2229,6967850018110.28,772580267021.0901,25702192208675.695
2230,6776407665869.958,754352372523.9532,25441347048841.9
2231,6615072994853.025,736438848695.8792,25171160618892.57
2232,6509603725824.769,718649183069.6495,24929553419984.203
2233,6360003606969.727,701267528081.5947,24666245811412.273
2234,6204740502635.01,686938653036.0284,24417465419514.0
2235,6050859683599.266,674513227981.1315,24178155953834.03
2236,5857740167464.935,662276455462.271,23946003915911.215
2237,5700478635724.317,649300044594.8889,23699013143617.25
2238,5538329608837.9795,634693121069.7161,23460867792189.14
2239,5403513728616.951,622631156027.2358,23235054031198.117
2240,5280866891120.779,610592438228.7633,22979198267784.637
2241,5159221816452.536,599924583163.1046,22737026296874.926
2242,5047788429726.371,589860366537.2,22498545283220.8
2243,4916530765148.884,580352378883.4556,22285611986439.734
2244,4799765494031.098,570709148966.601,22049473555726.47
2245,4681501109838.97,561091343084.4271,21818627350957.555
2246,4606818719664.057,550064250983.0739,21608595257319.68
2247,4500628544968.154,541024103198.7887,21411848348081.63
2248,4386986789399.7266,532311303189.4099,21211882314726.746
2249,4292466855911.2617,524076418206.1655,21018655585847.914
2250,4203103729010.547,516384331074.7041,20815793897689.32
2251,4116808667378.1304,508963821037.17725,20614915099738.87
2252,3996750820212.6104,503012820650.91095,20422253776075.617
2253,3917248032926.1685,496153717598.98676,20217806381141.438
2254,3837416683031.2734,489811995210.50183,20006437293041.586
2255,3739362369292.8916,484050670964.82007,19798782679911.93
2256,3658054725792.139,477389717881.3176,19619852174838.543
2257,3586255514640.721,471937453630.95667,19428366672920.523
2258,3524864956188.324,466778790215.41266,19230637049163.55
2259,3445905290193.3906,463097272062.1157,19047775811888.45
2260,3382320647753.0815,458760512619.2091,18865497781817.227
2261,3324408414973.298,454619600675.2301,18702822489565.133
2262,3266863742569.9785,450123157531.77356,18554487570510.04
2263,3195997374141.214,445323418969.353,18380113613139.99
2264,3143554766601.859,442457813002.70386,18233861408864.723
2265,3058061324561.405,438625339325.348,18066876481862.742
2266,3004831987443.6094,434766715095.09576,17903906906914.406
2267,2931438226123.8594,431692550554.2059,17746143233080.418
2268,2872992927051.3726,429058573083.86316,17580950482662.354
2269,2830482045005.3384,425550728000.31226,17424639489966.629
2270,2785212796883.454,422002382515.2224,17278418878282.957
2271,2721842789576.35,417956897469.826,17122037220289.686
2272,2660673259552.7754,414983844559.521,16963770945068.754
2273,2611983068432.8247,412425349851.4851,16832828472509.193
2274,2562293676173.7964,409927865772.93677,16684601678849.547
2275,2478483168113.7446,406706184262.0728,16555549030534.262
2276,2425045916385.2285,404301623236.85913,16416454830882.867
2277,2380646615901.5977,402238520234.4264,16295398853139.75
2278,2340459642152.6006,399713383009.5311,16165021261522.299
2279,2291089147421.3984,397183816075.1827,16037036501601.723
2280,2254263986829.364,394437646900.31696,15919337018401.26
2281,2218839928321.634,392293903552.3342,15781181467149.322
2282,2170629608554.2317,390807363838.51965,15682257054973.412
2283,2128370299521.2842,388814845841.80664,15576589742304.81
2284,2086470959039.1167,386762020729.3918,15468768353279.959
2285,2047810275570.58,384916325979.7354,15354672397378.678
2286,1999902705466.6455,382675991745.7334,15252864263808.457
2287,1962240868250.02,380130651759.9641,15146863550049.793
2288,1930521288430.1584,377477911114.8329,15044829168690.258
2289,1897630216349.295,375503335054.85596,14944946346536.312
2290,1865281094287.9385,374208950786.0691,14848824615204.145
2291,1830966539439.8823,372294661546.19275,14746385676159.982
2292,1794077526654.1343,371052660984.4226,14646448694277.252
2293,1766055038205.0662,369913597416.5082,14536297184272.234
2294,1743951683216.3853,368435290428.2164,14430087676665.854
2295,1722185764072.4053,367378990316.9753,14339275845609.686
2296,1692452545862.0044,365474289188.67395,14235820403579.594
2297,1653786796214.897,364193532115.61414,14129830964730.066
2298,1620987696533.5015,362561624007.8026,14030575348533.225
2299,1598451776960.374,361713081543.1777,13944796501807.328
2300,1578565441184.105,361019512039.70135,13859385127402.643
